Dataset,Method,R@1,R@5,R@10,count@1,count@5,count@10,Language active,Mean alpha
AmsterTime,B1 visual-only,43.460601,63.444354,70.18684,535,781,864,0,1.0
AmsterTime,B2 fixed fusion,43.623071,65.800162,73.436231,537,810,904,1231,0.5
AmsterTime,SU-only top10,43.054427,64.662876,70.18684,530,796,864,1231,0.490598
AmsterTime,Pre-filter-only top10,43.704305,63.688058,70.18684,538,784,864,401,0.837124
AmsterTime,Margin-gated top10,43.054427,63.688058,70.18684,530,784,864,401,0.83184
AmsterTime,Full method top10,43.216897,63.769293,70.18684,532,785,864,401,0.842829
MSLS-val,B1 visual-only,84.864865,90.945946,92.837838,628,673,687,0,1.0
MSLS-val,B2 fixed fusion,84.459459,91.486486,93.243243,625,677,690,740,0.5
MSLS-val,SU-only top10,84.054054,91.216216,92.837838,622,675,687,740,0.494132
MSLS-val,Pre-filter-only top10,84.864865,91.081081,92.837838,628,674,687,205,0.861486
MSLS-val,Margin-gated top10,85.0,91.081081,92.837838,629,674,687,205,0.868094
MSLS-val,Full method top10,85.135135,91.081081,92.837838,630,674,687,205,0.884666
Nordland-clean,B1 visual-only,52.75,76.25,87.75,211,305,351,0,1.0
Nordland-clean,B2 fixed fusion,45.75,75.0,83.75,183,300,335,400,0.5
Nordland-clean,SU-only top10,49.5,78.25,87.75,198,313,351,400,0.489395
Nordland-clean,Pre-filter-only top10,51.75,76.0,87.75,207,304,351,165,0.79375
Nordland-clean,Margin-gated top10,51.5,76.0,87.75,206,304,351,165,0.787647
Nordland-clean,Full method top10,53.0,76.0,87.75,212,304,351,165,0.79365
